Fecha,Nivel (m),Caudal
03-sep,1.12,3.8
10-sep,1.16,4.3
17-sep,0.96,2.0
24-sep,1.9,15.7
01-oct,1.22,5.1
08-oct,2.09,20
15-oct,1.67,12.5
22-oct,1.45,8.3
29-oct,1.54,10.7
05-nov,1.85,14.7
12-nov,1.21,4.9
19-nov,1.09,3.5
26-nov,1,2.4
03-dic,0.92,1.7
10-dic,0.9,1.4
17-dic,0.92,1.7
24-dic,0.9,1.4
31-dic,0.93,1.8
07-ene,0.92,1.7
14-ene,0.89,1.4
21-ene,0.92,1.7
28-ene,1,2.4
04-feb,0.88,1.4
11-feb,0.83,1.0
18-feb,0.82,0.9
25-feb,0.79,0.8
03-mar,0.78,0.7
10-mar,0.78,0.7
31-mar,0.78,0.7
07-abr,0.8,0.7
21-abr,0.7,0.7
28-abr,0.67,0.6
05-may,0.6,0.5
12-may,0.75,0.7
19-may,1.5,8.4
26-may,1.12,3.8
02-jun,1.42,7.8
09-jun,2.3,24.4
16-jun,1.35,6.8
23-jun,1,2.4
29-jun,0.95,2.0
06-jul,0.85,1.2
13-jul,0.9,1.5
20-jul,0.8,0.8
27-jul,1.2,6.1
03-ago,1.08,5.1
10-ago,1,4.5
