Codigo,Fecha,Solidos Suspendidos,Sólidos Disueltos,Sólidos Sedimentables,Solidos Totales,Alcalinidad,Coliformes Totales,Coliformes Fecales,Dureza Total,Cloruros,Conductividad,DBO,DQO,Fosfatos,Ortofosfatos,GYA,Nitritos,Nitratos,Sulfatos,Turbidez,pH,OD,Temperatura,Silice
-,-,mg/L,mg/L,mg/L,mg/L,mg/L CaCO3,UFC/mL,UFC/mL,mg/L CaCO3,mg/L,µmhos/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,UNT,[H+],mg/L,°C,1
RIO102,04/01/2006,,,,310,,5000,900,,51,371,2.1,X,0.498,,1.6,0.0101,0.7,28.3,31,8.1,5.28,26.3,1
RIO103,04/01/2006,,,,306,,X,X,,36,398,X,X,0.74,,2,0.0149,0.7,31.7,26,8.3,5.69,26,1
RIO106,04/01/2006,,,,384,,X,X,,41,428,X,X,1.14,,X,0.0189,1,38,29,8.4,5.86,25.6,1
RIO107,04/01/2006,,,,428,,90000,50000,,49,535,X,X,1.38,,1.2,0.0551,1.4,55.4,43,8.1,5.47,26.4,1
RIO109,04/01/2006,,,,420,,30000,24000,,52,554,1.5,X,0.411,,X,0.033,1.9,61.8,45,8,5.33,26.2,1
RIO111,04/01/2006,,,,320,,X,X,,27,306,X,X,0.471,,X,0.0079,0.7,24.3,22,8,4.9,26.2,1
RIO112,04/01/2006,,,,284,,7000,1700,,28,328,1.6,X,0.551,,2,0.0061,0.9,24.7,21,8,5,26,1
RIO113,04/01/2006,,,,300,,X,X,,30,339,X,X,0.739,,X,0.0033,1,27.5,21,8,4.6,26,1
RIO114,04/01/2006,,,,306,,X,X,,31,360,X,X,0.675,,X,0.0053,1,26.8,36,8.1,4.9,26.2,1
RIO116,04/01/2006,,,,122,,11000,400,,7,70,1.5,X,0.176,,1.2,0.0037,0.5,0.2,19,8.1,4.8,26.1,1
RIO115,04/01/2006,,,,304,,5000,400,,32,366,1.4,15.2,0.572,,1.4,0.0105,0.7,28.4,31,8,4.5,26.4,1
RIO102,03/02/2006,,,,442,,30000,24000,,58,745,1.58,8.3,0.607,,0.8,0.0203,1.1,106.4,27,8.5,4.84,28.2,1
RIO103,03/02/2006,,,,456,,X,X,,60,736,X,X,0.509,,1.2,0.035,1.1,100.4,21,8.6,5.04,26.7,1
RIO106,03/02/2006,,,,490,,X,X,,68,783,X,X,0.638,,1.2,0.0251,1.2,111.8,28,8.2,4.95,27.3,1
RIO107,03/02/2006,,,,752,,90000,90000,,86,1136,2,X,0.376,,1.6,0.1308,2.5,246,30,8.3,4.83,28.4,1
RIO109,03/02/2006,,,,668,,9000,3000,,86,1206,1.83,5.6,0.339,,0.8,0.1821,2.9,273,28,8.4,4.7,29.4,1
RIO111,03/02/2006,,,,260,,X,X,,34,459,X,X,0.452,,X,0.0343,1.3,38.9,12,8.2,5.4,27.4,1
RIO112,03/02/2006,,,,430,,90000,50000,,59,849,1.27,3.7,0.596,,1.2,0.0209,1.1,106.3,23,8.3,5.3,27.6,1
RIO113,03/02/2006,,,,412,,X,X,,60,858,X,X,0.579,,X,0.0225,1.1,103.1,18,8.4,5.1,27.8,1
RIO114,03/02/2006,,,,426,,X,X,,62,880,X,X,0.562,,X,0.0318,1.1,102.1,21,8.4,5,28,1
RIO115,03/02/2006,,,,462,,50000,50000,,59,879,1.13,4.7,0.622,,1.2,0.0342,1.2,103.4,33,8.5,4.6,27,1
RIO102,02/03/2006,,,,434,,24000,8000,,56,778,0.8,8.1,0.415,,1.2,0.0182,0.8,58.1,24,8.8,6.49,30.1,1
RIO103,02/03/2006,,,,418,,X,X,,65,786,X,X,0.359,,1.6,0.023,0.7,62.5,10,8.3,6.89,29.2,1
RIO106,02/03/2006,,,,514,,X,X,,81,899,X,X,0.349,,1,0.016,0.7,104.4,24,8.3,6.86,28.8,1
RIO107,02/03/2006,,,,534,,30000,24000,,83,962,2.18,X,0.234,,0.8,0.019,0.9,116.3,29,8.7,6.6,30.8,1
RIO109,02/03/2006,,,,594,,50000,24000,,85,1008,2.79,4.5,0.203,,0.8,0.0119,0.8,148.1,16,8.5,7.74,29.5,1
RIO111,02/03/2006,,,,402,,X,X,,56,691,X,X,0.515,,X,0.0122,0.8,53.2,29,8.1,6.33,30.6,1
RIO112,02/03/2006,,,,406,,8000,3000,,53,675,1.17,6.4,0.522,,0.8,0.0202,0.9,52,22,8.1,6.99,32.5,1
RIO113,02/03/2006,,,,424,,X,X,,51,674,X,X,0.521,,X,0.0245,0.8,55.9,27,8.3,6.89,32.7,1
RIO114,02/03/2006,,,,420,,X,X,,54,676,X,X,0.593,,X,0.0237,0.9,51.2,20,8.5,6.81,31.3,1
RIO116,02/03/2006,,,,68,,X,X,,5,91,X,1.6,0.187,,0.4,0.0106,0.8,1.1,16,7.7,7.33,29.5,1
RIO115,02/03/2006,,,,412,,5000,2300,,56,660,1.5,8.3,0.496,,1.6,0.0218,0.8,53.4,21,8.4,6.59,32.1,1
RIO102,04/04/2006,,,,662,,5000,2300,,105,1101,0.78,6.3,0.655,,1.2,0.0001,0.8,172,10,8.3,6.52,28,1
