Fecha,Pond Potrerito,Reser. Samaleón,Reservoir III,Pond Tabaco,Pond Sur,Pond Este,Pond Oeste,Pond Comuneros,Pond Palmarito,Pond Oreganal,Pond 831 Norte,Pond 831 Sur
06-ene-18,,176,,55,326,282,282,,,,,
08-feb-18,,,,95,,,,,,,,
03-jul-18,,,,,,,,,,740,,
04-ago-18,,,,,840,,,,,,,
06-ago-18,,,,,845,,,,,,,
06-sep-18,,,,,865,,,,,,,
03-oct-18,,432,,,439,,,,,,1037,171
11-oct-18,20,208,,23,223,,,50,,,,
18-oct-18,,,,,593,129,744,,,,508,
19-oct-18,,263,,,,,,,,,,
23-oct-18,,,,83,,,,,,,,68
24-oct-18,119,,,,,,,,,,,353
25-oct-18,,229,143,25,599,178,,63,,,,
26-oct-18,,,175,,,,,,,,,
27-oct-18,,193,143,28,,,,,,,,
28-oct-18,,175,136,50,,,,,,,,
29-oct-18,,195,,,,,,,,,,
30-oct-18,,197,,,,,,,,,,
31-oct-18,,197,,,,,,,,,,
01-nov-18,,198,,,,,,,,,,
02-nov-18,,196,,,,,,,,,,
03-nov-18,,180,,,,,,,,,,
04-nov-18,,182,,,,,,,,,,
05-nov-18,,157,,,,,,,,,,
07-nov-18,33,188,,,,,,,,,,
08-nov-18,,181,,,252,279,618,,,,,
09-nov-18,,170,,,,,,,,,,
10-nov-18,,155,,,,,,,,,,
11-nov-18,,168,,,,,,,,,,
12-nov-18,,178,,,,,,,,,,
13-nov-18,,174,,,,,,,,,,
14-nov-18,,176,,,,,,,,,,
15-nov-18,71,172,159,,,,,,,,,
16-nov-18,,172,,,,,,,,,,
20-nov-18,,,,,323,,,,,,,
21-nov-18,,,,,,157,,,,,,
26-nov-18,,,,,,,,,,,,
28-nov-18,,,,,,,,,,,,
29-nov-18,,,,,379,,,,,,,
02-dic-18,,,,,,,,,,,,
03-dic-18,,,,109,1387,,,,,,,
04-dic-18,,,,,,,,,,,,
10-dic-18,,,,,,,,,,,,
14-dic-18,,,,,,,,,,,,
16-dic-18,,,,,,,,,,,,
20-dic-18,,,,,,,,,,,,
23-dic-18,,,,,,,,,,,,
25-dic-18,,,,,,,,,,,,
28-dic-18,,,,,,,,,,,,
07-ene-19,,,,,,,,,,,,
14-ene-19,,,,,,,,,,,,
21-ene-19,,,,,,,,,,,,
28-ene-19,,,,,,,,,,,,
31-ene-19,,,,,,,,,,,,
04-feb-19,,,,,,,,,,,,
15-feb-19,,,,,,,,,,,,
22-feb-19,,,,,,,,,,,,
28-feb-19,,,,,,,,,,,,
09-mar-19,,,,,,,,,,,,
17-mar-19,,,,,,,,,,,,
25-mar-19,,,,,,,,,,,,
29-mar-19,,,,,,,,,,,,
02-abr-19,,,,,,,,,,,,
09-abr-19,,,,,,,,,,,,
16-abr-19,,,,,,,,,,,,
23-abr-19,,,,,,,,,,,,
30-abr-19,,,,,,,,,,,,
07-may-19,,,,,,,,,,,,
14-may-19,,,,,,,,,,,,
21-may-19,,,,,,,,,,,,
12-jun-19,,,,,,,,73,,,,
28-may-19,,,,,,,,,,,,
04-jun-19,,,,,,,,,,,,
11-jun-19,,,,,,,,,,,,
16-jun-19,,,,,,,,,,,,
20-jun-19,,,,,,,,,,,,
26-jun-19,,,,,,,,,,,,
30-jun-19,,,,,,,,,,,,
08-jul-19,,,,,,,,,,,,86
13-jul-19,,,,,,,542,,,,,
16-jul-19,,,,,,,459,,,,,
30-jul-19,,,,,,,,,,,,
31-jul-19,,,,,,,,,142,,,
01-ago-19,,,,,,,356,,,,,
07-ago-19,,,,,,,372,,,,,
13-ago-19,,,,,,,,,,,,
14-ago-19,,,,,,,373,,,,,
15-ago-19,,,,,,,,51,,,,
19-ago-19,,,,,,,,,,,,
20-ago-19,,,,,,,,,,,,
29-ago-19,,,,,,,,48,,,,
30-ago-19,,,,,,,,,,,,
03-sep-19,,,,,,,,,,,,
09-sep-19,65,,,27,,,,,,,,
10-sep-19,,,,,463,,,,,,,
11-sep-19,,,,,468,,,,,,,
15-sep-19,,,,,401,,,,,,,
19-sep-19,,,,,,,,,137,,,
24-sep-19,,,,,,,,,,,,
26-sep-19,,,,,,,,52,149,,,
27-sep-19,,,,,,308,,,,,,
01-oct-19,,,,,,182,,,182,,,
02-oct-19,,,,44,,,,,,,,
03-oct-19,,,,,273,,,,,,,
04-oct-19,,,,,288,,,,,,,
08-oct-19,51,,,30,338,,,,,,,
09-oct-19,47,,,,,,,52,128,,,
12-oct-19,,,,,,183,,,,,,
15-oct-19,,,,,,,,,,,,
19-oct-19,115,,,,255,,,,,,,
21-oct-19,,,,,,183,,,,,,
26-oct-19,,,,,,234,,,,,,
04-nov-19,89,,,,,,,,,,,
12-nov-19,,,,,,,,,,,,
15-nov-19,114,,,,,,,,,,,
17-nov-19,,,,,,,,,,,,
19-nov-19,,,,,,,,,,,,
21-nov-19,,,,,,,,,,,,
26-nov-19,,,,,,,,,,,,
03-dic-19,,,,,,,,,,,,
10-dic-19,,,,,,,,,,,,
17-dic-19,,,,,,,,,,,,
23-dic-19,,,,,,,,,,,,
30-dic-19,,,,,,,,,,,,
01-ene-20,,,,,,,,,,,,
07-ene-20,,,,,,,,,,,,
14-ene-20,,,,,,,,,,,,
21-ene-20,,,,,,,,,,,,
28-ene-20,,,,,,,,,,,,
04-feb-20,,,,,,,,,,,,
11-feb-20,,,,,,,,,,,,
18-feb-20,,,,,,,,,,,,
25-feb-20,,,,,,,,,,,,
03-mar-20,,,,,,,,,,,,
10-mar-20,,,,,,,,,,,,
17-mar-20,,,,,,,,,,,,
