Fecha,Pond Potrerito,Reser. Samaleón,Reservoir III,Pond Tabaco,Pond Sur,Pond Este,Pond Oeste,Pond Comuneros,Pond Palmarito,Pond Oreganal,Pond 831 Norte,Pond 831 Sur
06-ene-18,,2100,,1375,480,580,875,,,,,
08-feb-18,,,,1725,,,,,,,,
03-jul-18,,,,,,,,,,5200,,
04-ago-18,,,,,1375,,,,,,,
06-ago-18,,,,,1400,,,,,,,
06-sep-18,,,,,1500,,,,,,,
03-oct-18,,2950,,,900,,,,,,2500,800
10-oct-18,247,1260,,243,497,,,243,,,,
18-oct-18,,1950,,,,,,,,,,
19-oct-18,,,,,590,260,2900,,,,4400,
23-oct-18,,,,,,,,,,,,482
24-oct-18,499,,,504,,,,,,,2412,
25-oct-18,,2174,1645,346,984,379,,168,,,,
26-oct-18,,,1898,,,,,,,,,
27-oct-18,,2093,1645,346,,,,,,,,
28-oct-18,,2112,1697,722,,,,,,,,
29-oct-18,,2187,,,,,,,,,,
30-oct-18,,2175,,,,,,,,,,
31-oct-18,,2074,,,,,,,,,,
01-nov-18,,2250,,,,,,,,,,
02-nov-18,,2226,,,,,,,,,,
03-nov-18,,2275,,,,,,,,,,
04-nov-18,,2339,,,,,,,,,,
05-nov-18,,2068,,,,,,,,,,
07-nov-18,569,2309,,,,,,,,,,
08-nov-18,,2321,,,,,,,,,,
09-nov-18,,2034,,,,,,,,,,
10-nov-18,,2255,,,,,,,,,,
11-nov-18,,2312,,,,,,,,,,
12-nov-18,,2053,,,,,,,,,,
13-nov-18,,2011,,,,,,,,,,
14-nov-18,,2103,,,,,,,,,,
15-nov-18,660,2104,2018,1034,595,560,,,,,,
16-nov-18,,2274,,,,,,,,,,
20-nov-18,,,,,445,,,,,,,
21-nov-18,,,,,,177,,,,,,
26-nov-18,,,,,,,,,,,,
28-nov-18,,,,,,,,,,,,
29-nov-18,,,,,521,,,,,,,
02-dic-18,,,,,,,,,,,,
03-dic-18,,,,1235,1780,,,,,,,
04-dic-18,,,,,,,,,,,,
10-dic-18,,,,,,,,,,,,
14-dic-18,,,,,,,,,,,,
16-dic-18,,,,,,,,,,,,
20-dic-18,,,,,,,,,,,,
23-dic-18,,,,,,,,,,,,
26-dic-18,,,,,,,,,,,,
28-dic-18,,,,,,,,,,,,
01-ene-19,,,,,,,,,,,,
04-ene-19,,,,,,,,,,,,
07-ene-19,,,,,,,,,,,,
11-ene-19,,,,,,,,,,,,
14-ene-19,,,,,,,,,,,,
18-ene-19,,,,,,,,,,,,
21-ene-19,,,,,,,,,,,,
25-ene-19,,,,,,,,,,,,
28-ene-19,,,,,,,,,,,,
31-ene-19,,,,,,,,,,,,
01-feb-19,,,,,,,,,,,,
04-feb-19,,,,,,,,,,,,
08-feb-19,,,,,,,,,,,,
11-feb-19,,,,,,,,,,,,
15-feb-19,,,,,,,,,,,,
18-feb-19,,,,,,,,,,,,
22-feb-19,,,,,,,,,,,,
28-feb-19,,,,,,,,,,,,
01-mar-19,,,,,,,,,,,,
05-mar-19,,,,,,,,,,,,
09-mar-19,,,,,,,,,,,,
13-mar-19,,,,,,,,,,,,
17-mar-19,,,,,,,,,,,,
21-mar-19,,,,,,,,,,,,
25-mar-19,,,,,,,,,,,,
29-mar-19,,,,,,,,,,,,
02-abr-19,,,,,,,,,,,,
09-abr-19,,,,,,,,,,,,
16-abr-19,,,,,,,,,,,,
23-abr-19,,,,,,,,,,,,
30-abr-19,,,,,,,,,,,,
07-may-19,,,,,,,,,,,,
14-may-19,,,,,,,,,,,,
21-may-19,,,,,,,,,,,,
12-jun-19,,,,,,,,982,,,,
28-may-19,,,,,,,,,,,,
04-jun-19,,,,,,,,,,,,
11-jun-19,,,,,,,,,,,,
16-jun-19,,,,,,,,,,,,
20-jun-19,,,,,,,,,,,,
26-jun-19,,,,,,,,,,,,
30-jun-19,,,,,,,,,,,,
02-jul-19,,,,,,,,,,,,
08-jul-19,,,,,,,,,,,,1093
13-jul-19,,,,,,,4922,,,,,
16-jul-19,,,,,,,4452,,,,,
23-jul-19,,,,,,,,,,,,
23-jul-19,,,,,,,,,,,,
31-jul-19,,,,,,,,,917,,,
01-ago-19,,,,,,,2844,,,,,
07-ago-19,,,,,,,2583,,,,,
13-ago-19,,,,,,,,,,,,
14-ago-19,,,,,,,2183,,,,,
15-ago-19,,,,,,,,501,,,,
19-ago-19,,,,,,,,,,,,
20-ago-19,,,,,,,,,,,,
29-ago-19,,,,,,,,504,,,,
30-ago-19,,,,,,,,,,,,
03-sep-19,,,,,,,,,,,,
09-sep-19,933,,,1350,,,,,,,,
